QtdRobots: 20
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 100
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 200
MaxTime: 3000
EnvMutationRate: 0.2
QtdSensors: 5
EnableSensor: 0.4

Environment 0	 h: 5	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -611.89 	mf: -611.00 	ga0: 1.00 	ga1: 4.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.58 	gb1: 0.60 	gb2: 0.10 	gb3: 0.44 	gb4: 0.45 	gb5: 2.59 	gb6: 1.68 	gb7: 1.55 	gb8: 1.16 	gb9: 3.54
			Robot 2 	f: 1533.88 	mf: 5.00 	ga0: 1.00 	ga1: 3.29 	ga2: 0.30 	ga3: 0.00 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	gb0: 0.48 	gb1: 0.40 	gb2: 0.23 	gb3: 0.59 	gb4: 0.23 	gb5: 1.72 	gb6: 2.16 	gb7: 1.79 	gb8: 1.99 	gb9: 2.73
			Robot 3 	f: 727.10 	mf: 387.50 	ga0: 1.00 	ga1: 3.59 	ga2: 0.30 	ga3: 0.17 	ga4: 0.29 	ga5: 0.00 	ga6: 0.05 	gb0: 0.71 	gb1: 0.69 	gb2: 0.33 	gb3: 0.25 	gb4: 0.63 	gb5: 4.15 	gb6: 2.22 	gb7: 2.15 	gb8: 1.39 	gb9: 2.28
			Robot 4 	f: 735.74 	mf: -1799.00 	ga0: 1.00 	ga1: 6.18 	ga2: 0.42 	ga3: 0.02 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	gb0: 0.40 	gb1: 0.36 	gb2: 0.31 	gb3: 0.21 	gb4: 0.32 	gb5: 2.52 	gb6: 2.45 	gb7: 3.24 	gb8: 1.18 	gb9: 1.41
			Robot 5 	f: -509.90 	mf: -1018.00 	ga0: 0.50 	ga1: 3.71 	ga2: 0.30 	ga3: 0.06 	ga4: 0.29 	ga5: 0.03 	ga6: 0.13 	gb0: 0.41 	gb1: 0.55 	gb2: 0.67 	gb3: 0.27 	gb4: 0.55 	gb5: 4.08 	gb6: 4.22 	gb7: 2.27 	gb8: 1.13 	gb9: 3.60
			Robot 6 	f: -2782.27 	mf: -2976.00 	ga0: 1.00 	ga1: 3.71 	ga2: 0.30 	ga3: 0.00 	ga4: 0.29 	ga5: 0.38 	ga6: 0.37 	gb0: 0.64 	gb1: 0.52 	gb2: 0.55 	gb3: 0.38 	gb4: 0.36 	gb5: 2.80 	gb6: 3.58 	gb7: 1.88 	gb8: 2.46 	gb9: 2.55
			Robot 7 	f: -915.02 	mf: -601.00 	ga0: 1.00 	ga1: 2.93 	ga2: 0.30 	ga3: 0.00 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	gb0: 0.58 	gb1: 0.50 	gb2: 0.53 	gb3: 0.54 	gb4: 0.69 	gb5: 3.88 	gb6: 2.48 	gb7: 1.61 	gb8: 1.17 	gb9: 2.40
			Robot 8 	f: -2097.74 	mf: -2284.50 	ga0: 1.00 	ga1: 2.95 	ga2: 0.30 	ga3: 0.00 	ga4: 0.29 	ga5: 0.02 	ga6: 0.00 	gb0: 0.72 	gb1: 0.61 	gb2: 0.51 	gb3: 0.38 	gb4: 0.70 	gb5: 2.50 	gb6: 3.55 	gb7: 2.39 	gb8: 1.27 	gb9: 3.06
			Robot 9 	f: -429.20 	mf: -3995.00 	ga0: 1.00 	ga1: 3.43 	ga2: 0.30 	ga3: 0.00 	ga4: 0.29 	ga5: 0.12 	ga6: 0.00 	gb0: 0.58 	gb1: 0.49 	gb2: 0.27 	gb3: 0.58 	gb4: 0.56 	gb5: 3.06 	gb6: 2.74 	gb7: 3.42 	gb8: 1.78 	gb9: 3.03
			Robot 10 	f: -28.17 	mf: -1040.50 	ga0: 1.00 	ga1: 3.83 	ga2: 0.63 	ga3: 0.00 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	gb0: 0.32 	gb1: 0.38 	gb2: 0.24 	gb3: 0.51 	gb4: 0.39 	gb5: 3.00 	gb6: 3.84 	gb7: 3.44 	gb8: 1.69 	gb9: 3.55
			Robot 11 	f: -3350.53 	mf: -1877.50 	ga0: 1.00 	ga1: 4.59 	ga2: 0.40 	ga3: 0.00 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	gb0: 0.62 	gb1: 0.59 	gb2: 0.15 	gb3: 0.48 	gb4: 0.67 	gb5: 3.17 	gb6: 3.12 	gb7: 3.98 	gb8: 1.48 	gb9: 3.05
			Robot 12 	f: 661.47 	mf: 188.50 	ga0: 0.50 	ga1: 3.41 	ga2: 0.31 	ga3: 0.02 	ga4: 0.29 	ga5: 0.43 	ga6: 0.32 	gb0: 0.57 	gb1: 0.56 	gb2: 0.48 	gb3: 0.32 	gb4: 0.24 	gb5: 2.01 	gb6: 1.62 	gb7: 2.65 	gb8: 2.78 	gb9: 2.28
			Robot 13 	f: -1909.44 	mf: -1755.50 	ga0: 1.00 	ga1: 2.72 	ga2: 0.30 	ga3: 0.00 	ga4: 0.53 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 0.68 	gb2: 0.43 	gb3: 0.22 	gb4: 0.18 	gb5: 2.43 	gb6: 3.55 	gb7: 1.45 	gb8: 1.46 	gb9: 1.84
			Robot 14 	f: 1135.36 	mf: 811.50 	ga0: 1.00 	ga1: 3.14 	ga2: 0.30 	ga3: 0.46 	ga4: 0.29 	ga5: 0.00 	ga6: 0.01 	gb0: 0.71 	gb1: 0.47 	gb2: 0.14 	gb3: 0.55 	gb4: 0.52 	gb5: 3.81 	gb6: 4.20 	gb7: 3.46 	gb8: 1.57 	gb9: 1.79
			Robot 15 	f: 239.05 	mf: -511.50 	ga0: 1.00 	ga1: 3.59 	ga2: 0.49 	ga3: 0.00 	ga4: 0.29 	ga5: 0.05 	ga6: 0.11 	gb0: 0.47 	gb1: 0.44 	gb2: 0.24 	gb3: 0.65 	gb4: 0.60 	gb5: 3.01 	gb6: 2.05 	gb7: 2.98 	gb8: 3.33 	gb9: 1.61
			Robot 16 	f: 1069.29 	mf: 167.00 	ga0: 0.50 	ga1: 3.32 	ga2: 0.30 	ga3: 0.00 	ga4: 0.29 	ga5: 0.00 	ga6: 0.32 	gb0: 0.37 	gb1: 0.44 	gb2: 0.37 	gb3: 0.40 	gb4: 0.59 	gb5: 3.35 	gb6: 2.75 	gb7: 2.01 	gb8: 1.67 	gb9: 2.98
			Robot 17 	f: -1803.62 	mf: -1531.50 	ga0: 1.00 	ga1: 4.29 	ga2: 0.30 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.03 	gb0: 0.33 	gb1: 0.50 	gb2: 0.59 	gb3: 0.33 	gb4: 0.46 	gb5: 2.10 	gb6: 2.18 	gb7: 2.96 	gb8: 2.19 	gb9: 2.51
			Robot 18 	f: 2474.31 	mf: 1192.50 	ga0: 1.00 	ga1: 3.45 	ga2: 0.43 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	gb0: 0.53 	gb1: 0.62 	gb2: 0.26 	gb3: 0.23 	gb4: 0.37 	gb5: 3.60 	gb6: 3.63 	gb7: 2.86 	gb8: 1.46 	gb9: 2.99
			Robot 19 	f: 605.59 	mf: -173.50 	ga0: 1.00 	ga1: 4.86 	ga2: 0.36 	ga3: 0.00 	ga4: 0.29 	ga5: 0.00 	ga6: 0.00 	gb0: 0.35 	gb1: 0.38 	gb2: 0.12 	gb3: 0.54 	gb4: 0.49 	gb5: 2.22 	gb6: 3.38 	gb7: 2.87 	gb8: 2.27 	gb9: 3.12
		Population 2
			Robot 0 	f: -190.56 	mf: 89.33 	ga0: 1.00 	ga1: 3.52 	ga2: 0.39 	ga3: 0.00 	ga4: 0.48 	ga5: 0.01 	ga6: 0.00 	gb0: 0.43 	gb1: 0.81 	gb2: 0.22 	gb3: 0.41 	gb4: 0.59 	gb5: 3.48 	gb6: 3.69 	gb7: 3.77 	gb8: 2.56 	gb9: 3.30
			Robot 1 	f: -837.77 	mf: -494.00 	ga0: 1.00 	ga1: 3.36 	ga2: 0.39 	ga3: 0.00 	ga4: 0.38 	ga5: 0.14 	ga6: 0.00 	gb0: 0.40 	gb1: 0.51 	gb2: 0.31 	gb3: 0.27 	gb4: 0.29 	gb5: 3.55 	gb6: 1.69 	gb7: 2.22 	gb8: 1.27 	gb9: 3.89
			Robot 2 	f: -2561.21 	mf: -849.67 	ga0: 1.00 	ga1: 3.40 	ga2: 0.39 	ga3: 0.00 	ga4: 0.38 	ga5: 0.00 	ga6: 0.00 	gb0: 0.32 	gb1: 0.56 	gb2: 0.48 	gb3: 0.45 	gb4: 0.36 	gb5: 2.06 	gb6: 3.00 	gb7: 2.63 	gb8: 1.57 	gb9: 1.89
			Robot 3 	f: -1259.39 	mf: -160.67 	ga0: 1.00 	ga1: 3.75 	ga2: 0.39 	ga3: 0.05 	ga4: 0.38 	ga5: 0.00 	ga6: 0.18 	gb0: 0.35 	gb1: 0.50 	gb2: 0.14 	gb3: 0.26 	gb4: 0.45 	gb5: 3.97 	gb6: 2.20 	gb7: 3.25 	gb8: 3.03 	gb9: 2.17
			Robot 4 	f: 627.31 	mf: -990.33 	ga0: 1.00 	ga1: 4.27 	ga2: 0.43 	ga3: 0.00 	ga4: 0.38 	ga5: 0.00 	ga6: 0.00 	gb0: 0.72 	gb1: 0.34 	gb2: 0.21 	gb3: 0.34 	gb4: 0.18 	gb5: 2.33 	gb6: 3.95 	gb7: 3.06 	gb8: 1.00 	gb9: 1.52
			Robot 5 	f: -565.85 	mf: -867.00 	ga0: 0.85 	ga1: 3.53 	ga2: 0.39 	ga3: 0.02 	ga4: 0.38 	ga5: 0.01 	ga6: 0.37 	gb0: 0.26 	gb1: 0.44 	gb2: 0.40 	gb3: 0.32 	gb4: 0.67 	gb5: 3.37 	gb6: 2.06 	gb7: 2.10 	gb8: 2.53 	gb9: 3.50
			Robot 6 	f: -142.41 	mf: -2031.33 	ga0: 1.00 	ga1: 3.53 	ga2: 0.39 	ga3: 0.00 	ga4: 0.38 	ga5: 0.11 	ga6: 0.11 	gb0: 0.35 	gb1: 0.68 	gb2: 0.62 	gb3: 0.27 	gb4: 0.65 	gb5: 4.15 	gb6: 4.06 	gb7: 3.63 	gb8: 0.96 	gb9: 1.72
			Robot 7 	f: -1664.42 	mf: -955.33 	ga0: 1.00 	ga1: 3.29 	ga2: 0.39 	ga3: 0.00 	ga4: 0.38 	ga5: 0.00 	ga6: 0.00 	gb0: 0.37 	gb1: 0.50 	gb2: 0.28 	gb3: 0.18 	gb4: 0.46 	gb5: 4.30 	gb6: 2.08 	gb7: 3.16 	gb8: 3.14 	gb9: 3.22
			Robot 8 	f: -3395.86 	mf: -2654.67 	ga0: 0.50 	ga1: 3.15 	ga2: 0.35 	ga3: 0.00 	ga4: 0.38 	ga5: 0.01 	ga6: 0.00 	gb0: 0.78 	gb1: 0.54 	gb2: 0.65 	gb3: 0.43 	gb4: 0.52 	gb5: 4.01 	gb6: 2.44 	gb7: 2.80 	gb8: 2.98 	gb9: 1.90
			Robot 9 	f: -2312.15 	mf: -3434.00 	ga0: 0.50 	ga1: 3.44 	ga2: 0.39 	ga3: 0.00 	ga4: 0.38 	ga5: 0.04 	ga6: 0.00 	gb0: 0.29 	gb1: 0.63 	gb2: 0.31 	gb3: 0.25 	gb4: 0.34 	gb5: 2.17 	gb6: 2.72 	gb7: 2.23 	gb8: 2.88 	gb9: 3.72
			Robot 10 	f: -690.68 	mf: -923.67 	ga0: 1.00 	ga1: 3.56 	ga2: 0.49 	ga3: 0.00 	ga4: 0.38 	ga5: 0.00 	ga6: 0.00 	gb0: 0.50 	gb1: 0.52 	gb2: 0.27 	gb3: 0.63 	gb4: 0.47 	gb5: 3.00 	gb6: 3.13 	gb7: 3.44 	gb8: 2.43 	gb9: 3.30
			Robot 11 	f: -130.37 	mf: -1295.00 	ga0: 0.50 	ga1: 3.79 	ga2: 0.42 	ga3: 0.00 	ga4: 0.38 	ga5: 0.00 	ga6: 0.00 	gb0: 0.62 	gb1: 0.41 	gb2: 0.28 	gb3: 0.47 	gb4: 0.70 	gb5: 3.88 	gb6: 3.77 	gb7: 3.82 	gb8: 2.27 	gb9: 3.98
			Robot 12 	f: 853.87 	mf: 410.00 	ga0: 0.85 	ga1: 3.44 	ga2: 0.39 	ga3: 0.01 	ga4: 0.38 	ga5: 0.13 	ga6: 0.09 	gb0: 0.48 	gb1: 0.48 	gb2: 0.16 	gb3: 0.26 	gb4: 0.51 	gb5: 1.78 	gb6: 3.00 	gb7: 1.50 	gb8: 2.51 	gb9: 3.85
			Robot 13 	f: -331.81 	mf: -1280.67 	ga0: 1.00 	ga1: 3.23 	ga2: 0.39 	ga3: 0.40 	ga4: 0.45 	ga5: 0.00 	ga6: 0.00 	gb0: 0.68 	gb1: 0.65 	gb2: 0.16 	gb3: 0.29 	gb4: 0.29 	gb5: 2.11 	gb6: 2.94 	gb7: 2.02 	gb8: 1.46 	gb9: 3.20
			Robot 14 	f: 1219.47 	mf: 947.33 	ga0: 1.00 	ga1: 3.36 	ga2: 0.38 	ga3: 0.14 	ga4: 0.38 	ga5: 0.39 	ga6: 0.33 	gb0: 0.55 	gb1: 0.44 	gb2: 0.40 	gb3: 0.30 	gb4: 0.42 	gb5: 3.50 	gb6: 4.29 	gb7: 3.63 	gb8: 1.14 	gb9: 3.40
			Robot 15 	f: 670.51 	mf: -117.67 	ga0: 1.00 	ga1: 3.49 	ga2: 0.45 	ga3: 0.00 	ga4: 0.38 	ga5: 0.02 	ga6: 0.03 	gb0: 0.36 	gb1: 0.36 	gb2: 0.43 	gb3: 0.26 	gb4: 0.68 	gb5: 2.87 	gb6: 3.35 	gb7: 3.20 	gb8: 1.52 	gb9: 2.40
			Robot 16 	f: -339.19 	mf: -1.33 	ga0: 0.85 	ga1: 3.41 	ga2: 0.39 	ga3: 0.00 	ga4: 0.38 	ga5: 0.05 	ga6: 0.10 	gb0: 0.41 	gb1: 0.73 	gb2: 0.50 	gb3: 0.46 	gb4: 0.25 	gb5: 3.96 	gb6: 3.61 	gb7: 3.51 	gb8: 0.82 	gb9: 3.21
			Robot 17 	f: -393.64 	mf: -1152.00 	ga0: 1.00 	ga1: 3.70 	ga2: 0.39 	ga3: 0.00 	ga4: 0.68 	ga5: 0.00 	ga6: 0.01 	gb0: 0.62 	gb1: 0.30 	gb2: 0.66 	gb3: 0.52 	gb4: 0.32 	gb5: 2.96 	gb6: 2.59 	gb7: 3.27 	gb8: 2.38 	gb9: 2.17
			Robot 18 	f: 1791.95 	mf: 1392.00 	ga0: 1.00 	ga1: 3.45 	ga2: 0.43 	ga3: 0.00 	ga4: 0.41 	ga5: 0.00 	ga6: 0.00 	gb0: 0.53 	gb1: 0.62 	gb2: 0.26 	gb3: 0.23 	gb4: 0.37 	gb5: 3.60 	gb6: 3.63 	gb7: 2.86 	gb8: 1.46 	gb9: 2.99
			Robot 19 	f: -589.93 	mf: -312.00 	ga0: 1.00 	ga1: 3.94 	ga2: 0.51 	ga3: 0.00 	ga4: 0.38 	ga5: 0.03 	ga6: 0.00 	gb0: 0.30 	gb1: 0.37 	gb2: 0.33 	gb3: 0.49 	gb4: 0.23 	gb5: 3.98 	gb6: 2.49 	gb7: 2.47 	gb8: 1.47 	gb9: 2.46
		Population 3
			Robot 0 	f: 394.58 	mf: 165.25 	ga0: 1.00 	ga1: 5.24 	ga2: 0.49 	ga3: 0.12 	ga4: 0.43 	ga5: 0.00 	ga6: 0.00 	gb0: 0.43 	gb1: 0.75 	gb2: 0.28 	gb3: 0.44 	gb4: 0.50 	gb5: 3.24 	gb6: 4.14 	gb7: 3.06 	gb8: 1.35 	gb9: 2.95
			Robot 1 	f: -1250.52 	mf: -683.00 	ga0: 1.00 	ga1: 3.42 	ga2: 0.42 	ga3: 0.00 	ga4: 0.40 	ga5: 0.04 	ga6: 0.17 	gb0: 0.38 	gb1: 0.53 	gb2: 0.48 	gb3: 0.28 	gb4: 0.23 	gb5: 4.03 	gb6: 2.03 	gb7: 1.67 	gb8: 1.51 	gb9: 2.77
			Robot 2 	f: -2180.95 	mf: -1182.25 	ga0: 1.00 	ga1: 3.44 	ga2: 0.34 	ga3: 0.00 	ga4: 0.40 	ga5: 0.00 	ga6: 0.00 	gb0: 0.65 	gb1: 0.31 	gb2: 0.58 	gb3: 0.51 	gb4: 0.60 	gb5: 1.72 	gb6: 2.72 	gb7: 1.70 	gb8: 2.30 	gb9: 3.14
			Robot 3 	f: -258.22 	mf: -185.00 	ga0: 1.00 	ga1: 3.54 	ga2: 0.42 	ga3: 0.36 	ga4: 0.45 	ga5: 0.00 	ga6: 0.29 	gb0: 0.24 	gb1: 0.68 	gb2: 0.27 	gb3: 0.57 	gb4: 0.31 	gb5: 4.06 	gb6: 3.18 	gb7: 2.24 	gb8: 3.37 	gb9: 1.89
			Robot 4 	f: -158.05 	mf: -782.25 	ga0: 1.00 	ga1: 3.70 	ga2: 0.56 	ga3: 0.00 	ga4: 0.40 	ga5: 0.45 	ga6: 0.31 	gb0: 0.31 	gb1: 0.74 	gb2: 0.55 	gb3: 0.38 	gb4: 0.22 	gb5: 2.64 	gb6: 3.96 	gb7: 3.27 	gb8: 1.36 	gb9: 2.95
			Robot 5 	f: -4.47 	mf: -651.25 	ga0: 0.96 	ga1: 3.47 	ga2: 0.42 	ga3: 0.42 	ga4: 0.40 	ga5: 0.00 	ga6: 0.50 	gb0: 0.60 	gb1: 0.57 	gb2: 0.27 	gb3: 0.58 	gb4: 0.31 	gb5: 1.99 	gb6: 3.24 	gb7: 3.60 	gb8: 1.63 	gb9: 3.18
			Robot 6 	f: 509.04 	mf: -1396.50 	ga0: 0.50 	ga1: 3.47 	ga2: 0.42 	ga3: 0.41 	ga4: 0.40 	ga5: 0.03 	ga6: 0.47 	gb0: 0.24 	gb1: 0.75 	gb2: 0.24 	gb3: 0.59 	gb4: 0.49 	gb5: 2.44 	gb6: 3.03 	gb7: 4.00 	gb8: 2.18 	gb9: 2.47
			Robot 7 	f: -267.59 	mf: -783.25 	ga0: 1.00 	ga1: 3.40 	ga2: 0.42 	ga3: 0.00 	ga4: 0.40 	ga5: 0.00 	ga6: 0.03 	gb0: 0.58 	gb1: 0.31 	gb2: 0.27 	gb3: 0.28 	gb4: 0.52 	gb5: 3.19 	gb6: 4.07 	gb7: 2.56 	gb8: 3.18 	gb9: 2.66
